epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7819,1.34061,1.27081,1.03057,0.1929,0.25246,0.12588,0.07385,2.54208,inf,2.47068,0.000237119,0.000237119,0.000237119
2,157.075,1.29266,0.99932,0.99256,0.16789,0.24583,0.10678,0.05988,2.58035,inf,2.463,0.000469239,0.000469239,0.000469239
3,233.422,1.28448,0.97309,0.99565,0.16123,0.221,0.11075,0.06949,2.53108,inf,2.17682,0.000695469,0.000695469,0.000695469
4,309.204,1.25931,0.93036,0.98871,0.21115,0.25292,0.126,0.07817,2.64424,inf,2.95485,0.000687493,0.000687493,0.000687493
5,384.909,1.24685,0.91118,0.98578,0.26812,0.27017,0.16261,0.10118,2.58573,inf,3.00832,0.000678657,0.000678657,0.000678657
6,460.069,1.24423,0.88537,0.98462,0.28669,0.24527,0.17612,0.10876,2.85464,inf,3.44324,0.000669821,0.000669821,0.000669821
7,535.557,1.23368,0.86961,0.97915,0.25273,0.27798,0.15473,0.09779,2.60772,inf,2.85283,0.000660986,0.000660986,0.000660986
8,611.28,1.22079,0.85147,0.97499,0.35982,0.26432,0.22926,0.14259,2.57011,inf,2.38408,0.00065215,0.00065215,0.00065215
9,687.209,1.22182,0.83738,0.97051,0.35058,0.26887,0.20636,0.12874,2.52915,inf,2.52504,0.000643314,0.000643314,0.000643314
10,763.057,1.2099,0.82944,0.97421,0.35757,0.26133,0.20543,0.13047,2.62492,inf,2.94763,0.000634478,0.000634478,0.000634478
11,838.774,1.20806,0.8227,0.97025,0.26141,0.28821,0.16619,0.10637,2.49082,inf,2.53173,0.000625642,0.000625642,0.000625642
12,914.551,1.20118,0.81535,0.96848,0.23959,0.28889,0.15456,0.09935,2.42189,inf,2.40943,0.000616807,0.000616807,0.000616807
13,989.948,1.1961,0.79909,0.96767,0.24441,0.27682,0.14352,0.09089,2.64639,inf,3.17925,0.000607971,0.000607971,0.000607971
14,1065.19,1.20088,0.80566,0.9684,0.26184,0.25863,0.16156,0.09959,2.61219,inf,2.96243,0.000599135,0.000599135,0.000599135
15,1140.85,1.19085,0.78822,0.96394,0.24466,0.29046,0.14786,0.09328,2.52009,inf,2.56215,0.0005903,0.0005903,0.0005903
16,1216.24,1.18725,0.78763,0.96214,0.19938,0.27301,0.12947,0.08544,2.61375,inf,2.85371,0.000581464,0.000581464,0.000581464
17,1292.11,1.1838,0.77186,0.96085,0.30516,0.27487,0.17548,0.10926,2.47771,inf,2.4042,0.000572628,0.000572628,0.000572628
18,1368.24,1.16832,0.76573,0.95421,0.27456,0.28584,0.16389,0.10367,2.47838,inf,2.32222,0.000563792,0.000563792,0.000563792
19,1444.83,1.17682,0.76095,0.95898,0.22,0.2813,0.13212,0.084,2.26978,inf,1.90448,0.000554956,0.000554956,0.000554956
20,1520.9,1.17512,0.76234,0.95585,0.23681,0.29024,0.14611,0.0928,2.23212,inf,1.8455,0.000546121,0.000546121,0.000546121
21,1597.03,1.15684,0.74735,0.95538,0.16188,0.29883,0.11411,0.07535,2.26788,inf,1.91646,0.000537285,0.000537285,0.000537285
22,1703.36,1.17424,0.74821,0.95529,0.24699,0.29698,0.14682,0.09093,2.23778,inf,1.95776,0.000528449,0.000528449,0.000528449
23,1779.42,1.16222,0.74114,0.95555,0.1705,0.2869,0.11528,0.07441,2.26843,inf,1.95492,0.000519613,0.000519613,0.000519613
24,1855.59,1.1633,0.73862,0.95357,0.22823,0.30153,0.13436,0.08618,2.11459,inf,1.7153,0.000510778,0.000510778,0.000510778
25,1931.78,1.15374,0.72554,0.95,0.18482,0.29265,0.11592,0.07415,2.37993,inf,2.23076,0.000501942,0.000501942,0.000501942
26,2007.8,1.15292,0.72607,0.94994,0.20593,0.29232,0.13523,0.08998,2.18791,inf,1.8071,0.000493106,0.000493106,0.000493106
27,2084.14,1.14293,0.71567,0.94754,0.30198,0.28891,0.18263,0.11863,2.28915,inf,1.9522,0.000484271,0.000484271,0.000484271
28,2160.41,1.13803,0.71011,0.94493,0.25234,0.28862,0.1594,0.10733,2.40453,inf,2.14638,0.000475435,0.000475435,0.000475435
29,2236.84,1.1397,0.71005,0.94373,0.26965,0.29223,0.16993,0.10969,2.1332,inf,1.72966,0.000466599,0.000466599,0.000466599
30,2313.38,1.1315,0.70024,0.94155,0.2411,0.29541,0.14654,0.09544,2.18176,inf,1.79378,0.000457763,0.000457763,0.000457763
31,2389.86,1.13857,0.69916,0.94249,0.28608,0.28408,0.16527,0.10744,2.25467,inf,1.95046,0.000448928,0.000448928,0.000448928
32,2466.37,1.14032,0.69427,0.94291,0.37574,0.28531,0.21802,0.14006,2.29842,inf,2.07862,0.000440092,0.000440092,0.000440092
33,2542.62,1.12554,0.68352,0.93856,0.20833,0.30298,0.13703,0.09141,2.12628,inf,1.80713,0.000431256,0.000431256,0.000431256
34,2618.81,1.11624,0.67788,0.93571,0.249,0.29315,0.15561,0.10335,2.16429,inf,1.86029,0.00042242,0.00042242,0.00042242
35,2695.48,1.12028,0.67675,0.93781,0.2675,0.29793,0.16375,0.10785,2.14266,inf,1.78919,0.000413584,0.000413584,0.000413584
36,2771.96,1.10863,0.66878,0.93409,0.34427,0.28736,0.21192,0.13707,2.06369,inf,1.71078,0.000404749,0.000404749,0.000404749
37,2847.7,1.10835,0.66432,0.9322,0.41367,0.29244,0.24794,0.16393,2.33657,inf,2.21714,0.000395913,0.000395913,0.000395913
38,2924.31,1.11494,0.66713,0.93487,0.30025,0.29828,0.1857,0.1216,2.25744,inf,1.95267,0.000387077,0.000387077,0.000387077
39,3000.8,1.11807,0.65942,0.9318,0.31588,0.28979,0.18553,0.12259,2.19656,inf,1.85677,0.000378242,0.000378242,0.000378242
40,3077.91,1.10756,0.65439,0.93152,0.39277,0.28957,0.22775,0.15222,2.13785,inf,1.84319,0.000369406,0.000369406,0.000369406
41,3154.78,1.09942,0.64974,0.93125,0.41507,0.28522,0.23592,0.15606,2.08524,inf,1.74928,0.00036057,0.00036057,0.00036057
42,3231.43,1.09886,0.63944,0.92476,0.28989,0.30089,0.17383,0.11627,2.05306,inf,1.6235,0.000351734,0.000351734,0.000351734
43,3308.09,1.10228,0.64297,0.92914,0.29171,0.29316,0.17774,0.11664,2.08341,inf,1.71292,0.000342899,0.000342899,0.000342899
44,3384.82,1.0914,0.63519,0.92847,0.38415,0.29758,0.22204,0.14518,2.09057,inf,1.65724,0.000334063,0.000334063,0.000334063
45,3461.02,1.08543,0.63248,0.92623,0.37429,0.29255,0.2218,0.14617,2.20325,inf,1.88727,0.000325227,0.000325227,0.000325227
46,3537.76,1.07709,0.62492,0.92291,0.27219,0.2951,0.17744,0.11682,2.0539,inf,1.63344,0.000316391,0.000316391,0.000316391
47,3614.52,1.09437,0.62766,0.92113,0.28916,0.30237,0.1855,0.12083,2.24347,inf,1.91096,0.000307555,0.000307555,0.000307555
48,3691.09,1.0771,0.61848,0.91989,0.43555,0.29484,0.24725,0.15913,2.1829,inf,1.74684,0.00029872,0.00029872,0.00029872
49,3767.73,1.07157,0.6178,0.91906,0.31586,0.29621,0.19315,0.12572,2.02601,inf,1.56431,0.000289884,0.000289884,0.000289884
50,3844.34,1.07194,0.60898,0.91892,0.37138,0.29994,0.21863,0.14194,2.07396,inf,1.636,0.000281048,0.000281048,0.000281048
51,3920.6,1.0707,0.60649,0.92395,0.34948,0.29597,0.21561,0.14038,2.1187,inf,1.73044,0.000272212,0.000272212,0.000272212
52,3997.01,1.06767,0.6035,0.92114,0.29109,0.29721,0.17744,0.1172,2.13171,inf,1.74865,0.000263377,0.000263377,0.000263377
53,4073.39,1.07201,0.60305,0.91556,0.30232,0.30037,0.18822,0.1224,2.15549,inf,1.78892,0.000254541,0.000254541,0.000254541
54,4149.82,1.05302,0.59562,0.91088,0.41589,0.28772,0.24531,0.162,2.19865,inf,1.84129,0.000245705,0.000245705,0.000245705
55,4226.37,1.05863,0.59285,0.91786,0.37804,0.29471,0.22388,0.14719,2.14662,inf,1.74463,0.000236869,0.000236869,0.000236869
56,4303.2,1.05524,0.5902,0.91795,0.34266,0.29359,0.21711,0.14334,2.15201,inf,1.7334,0.000228034,0.000228034,0.000228034
57,4380.06,1.05292,0.58788,0.91392,0.29503,0.29547,0.17483,0.11397,2.15405,inf,1.72884,0.000219198,0.000219198,0.000219198
58,4482.06,1.05634,0.58533,0.91459,0.27356,0.29242,0.1669,0.10955,2.2271,inf,1.86237,0.000210362,0.000210362,0.000210362
59,4559,1.04533,0.5793,0.91324,0.30943,0.2943,0.18654,0.12226,2.21955,inf,1.86174,0.000201527,0.000201527,0.000201527
60,4635.82,1.03235,0.56697,0.91153,0.31655,0.28802,0.18767,0.12245,2.24497,inf,1.91207,0.000192691,0.000192691,0.000192691
61,4712.56,1.03669,0.57012,0.9094,0.31751,0.29627,0.19585,0.12812,2.12923,inf,1.71109,0.000183855,0.000183855,0.000183855
62,4789.25,1.03393,0.57129,0.90823,0.31063,0.29755,0.19526,0.1273,2.16281,inf,1.76533,0.000175019,0.000175019,0.000175019
63,4865.92,1.03617,0.56636,0.9102,0.33734,0.29495,0.20671,0.13492,2.14961,inf,1.76098,0.000166183,0.000166183,0.000166183
64,4942.89,1.03439,0.56307,0.91142,0.38929,0.29574,0.2319,0.15061,2.21901,inf,1.85358,0.000157348,0.000157348,0.000157348
65,5058.05,1.03023,0.55884,0.90594,0.38736,0.29006,0.22743,0.14841,2.20123,inf,1.83876,0.000148512,0.000148512,0.000148512
66,5134.39,1.02842,0.5538,0.90746,0.37956,0.28774,0.2226,0.14479,2.14423,inf,1.76738,0.000139676,0.000139676,0.000139676
67,5211.35,1.02476,0.55427,0.90568,0.37714,0.28943,0.22419,0.14613,2.14316,inf,1.72615,0.000130841,0.000130841,0.000130841
68,5288.24,1.01726,0.54959,0.90567,0.3474,0.29054,0.21463,0.14096,2.13643,inf,1.72935,0.000122005,0.000122005,0.000122005
69,5365.09,1.01024,0.54303,0.90074,0.34386,0.29164,0.20468,0.13378,2.09883,inf,1.65303,0.000113169,0.000113169,0.000113169
70,5442.39,1.02331,0.54605,0.90455,0.32099,0.29557,0.19944,0.12985,2.09973,inf,1.66106,0.000104333,0.000104333,0.000104333
71,5518.09,1.01753,0.54057,0.91151,0.36829,0.28985,0.22084,0.14244,2.12924,inf,1.696,9.54975e-05,9.54975e-05,9.54975e-05
72,5592.16,1.00467,0.52666,0.90794,0.35364,0.29301,0.21982,0.14297,2.09693,inf,1.65052,8.66618e-05,8.66618e-05,8.66618e-05
73,5666.14,1.00363,0.52144,0.9072,0.36015,0.29072,0.22271,0.14436,2.11935,inf,1.68652,7.7826e-05,7.7826e-05,7.7826e-05
74,5740.4,0.99001,0.51544,0.90381,0.36861,0.29313,0.22475,0.14573,2.11021,inf,1.66363,6.89903e-05,6.89903e-05,6.89903e-05
75,5814.67,0.99357,0.51265,0.90745,0.36629,0.29686,0.22557,0.14701,2.09717,inf,1.65051,6.01545e-05,6.01545e-05,6.01545e-05
76,5888.83,0.98885,0.51096,0.90617,0.36628,0.29328,0.22454,0.14642,2.09904,inf,1.64909,5.13187e-05,5.13187e-05,5.13187e-05
77,5963.07,0.98908,0.50953,0.90233,0.36361,0.28995,0.22274,0.14453,2.10554,inf,1.65591,4.2483e-05,4.2483e-05,4.2483e-05
78,6037.45,0.97971,0.5072,0.89944,0.35475,0.28969,0.21524,0.13958,2.10115,inf,1.64005,3.36472e-05,3.36472e-05,3.36472e-05
79,6111.51,0.98073,0.50325,0.9021,0.34926,0.29157,0.21319,0.13819,2.10358,inf,1.64325,2.48115e-05,2.48115e-05,2.48115e-05
80,6185.69,0.9806,0.50043,0.89941,0.35363,0.29252,0.2141,0.13851,2.11297,inf,1.65338,1.59757e-05,1.59757e-05,1.59757e-05
