epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5725,1.34061,1.27081,1.03057,0.1929,0.25246,0.12588,0.07385,2.54208,inf,2.47068,0.000237119,0.000237119,0.000237119
2,153.607,1.29249,0.99823,0.98995,0.16767,0.24359,0.10811,0.06244,2.58558,inf,2.91473,0.000463359,0.000463359,0.000463359
3,228.783,1.27868,0.96673,0.99126,0.24353,0.23425,0.1411,0.08537,2.71829,inf,3.26579,0.000677819,0.000677819,0.000677819
4,303.656,1.25651,0.92728,0.98608,0.25395,0.25267,0.16337,0.10457,2.6733,inf,3.27208,0.000660986,0.000660986,0.000660986
5,378.53,1.24727,0.90831,0.98581,0.30086,0.24866,0.17818,0.11371,2.69102,inf,3.40053,0.000643314,0.000643314,0.000643314
6,452.921,1.23925,0.88349,0.98253,0.25459,0.25811,0.16151,0.10079,2.78715,inf,3.93766,0.000625642,0.000625642,0.000625642
7,527.482,1.22874,0.86285,0.97772,0.35588,0.24407,0.20403,0.12555,2.54363,inf,2.78246,0.000607971,0.000607971,0.000607971
8,602.562,1.21784,0.85053,0.9755,0.32564,0.25102,0.20953,0.13004,2.40613,inf,2.17139,0.0005903,0.0005903,0.0005903
9,677.288,1.21642,0.83163,0.96992,0.36651,0.25364,0.21294,0.13067,2.59872,inf,3.07447,0.000572628,0.000572628,0.000572628
10,752.165,1.20579,0.82033,0.97412,0.23556,0.2613,0.13929,0.08587,2.72357,inf,3.43955,0.000554956,0.000554956,0.000554956
11,827.041,1.20173,0.81388,0.97005,0.20646,0.29009,0.12769,0.07732,2.55423,inf,2.71604,0.000537285,0.000537285,0.000537285
12,902.008,1.19224,0.8038,0.96365,0.2334,0.27809,0.14115,0.08556,2.61972,inf,3.03983,0.000519613,0.000519613,0.000519613
13,976.675,1.18757,0.78924,0.9657,0.2117,0.29064,0.13391,0.08514,2.65257,inf,3.27292,0.000501942,0.000501942,0.000501942
14,1051.58,1.18624,0.78752,0.96517,0.22656,0.27553,0.14175,0.09027,2.7276,inf,3.54004,0.000484271,0.000484271,0.000484271
15,1126.68,1.17768,0.77224,0.95978,0.20461,0.28196,0.12851,0.08308,2.68499,inf,3.32494,0.000466599,0.000466599,0.000466599
16,1201.48,1.17389,0.76665,0.95695,0.22321,0.26358,0.13531,0.08588,2.572,inf,2.77427,0.000448928,0.000448928,0.000448928
17,1276.69,1.17365,0.7571,0.95737,0.22208,0.28639,0.14203,0.09253,2.55216,inf,2.67935,0.000431256,0.000431256,0.000431256
18,1351.8,1.15397,0.74802,0.94726,0.26646,0.29546,0.16006,0.10202,2.46124,inf,2.34425,0.000413584,0.000413584,0.000413584
19,1426.67,1.16549,0.74129,0.95468,0.35216,0.27692,0.19987,0.12526,2.46056,inf,2.45144,0.000395913,0.000395913,0.000395913
20,1501.66,1.15784,0.73597,0.94816,0.25504,0.28158,0.15591,0.09873,2.35006,inf,2.09668,0.000378242,0.000378242,0.000378242
