epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.427,1.32257,1.19181,1.02116,0.52067,0.43706,0.43842,0.26887,1.27756,0.96315,1.00747,0.000237559,0.000237559,0.000237559
2,286.802,1.2778,0.98865,0.99383,0.5257,0.42517,0.43476,0.2667,1.26334,0.97285,0.98731,0.000452019,0.000452019,0.000452019
3,424.172,1.27897,0.96177,0.99438,0.51935,0.44168,0.44695,0.27681,1.25642,0.99056,1.00563,0.000642917,0.000642917,0.000642917
4,561.523,1.26762,0.93644,0.98959,0.5853,0.48485,0.50917,0.31746,1.24956,0.91475,0.99614,0.000607971,0.000607971,0.000607971
5,699.077,1.24658,0.90532,0.98181,0.57532,0.49004,0.50671,0.31589,1.25032,0.91064,0.9923,0.000572628,0.000572628,0.000572628
6,836.82,1.24011,0.8853,0.98057,0.60406,0.50603,0.52616,0.32814,1.23009,0.87432,0.98776,0.000537285,0.000537285,0.000537285
7,973.914,1.22756,0.86444,0.97605,0.60831,0.51372,0.54366,0.34522,1.19735,0.85833,0.97895,0.000501942,0.000501942,0.000501942
8,1111.23,1.22502,0.84629,0.97209,0.61084,0.5015,0.52864,0.33181,1.23897,0.87591,0.98942,0.000466599,0.000466599,0.000466599
9,1248.13,1.21148,0.83097,0.96596,0.61423,0.51077,0.53937,0.34179,1.21189,0.85811,0.97916,0.000431256,0.000431256,0.000431256
10,1385.07,1.20113,0.81233,0.96526,0.62711,0.53503,0.56186,0.35774,1.19714,0.83617,0.98149,0.000395913,0.000395913,0.000395913
11,1518.88,1.19433,0.80982,0.977,0.60591,0.52847,0.5523,0.35065,1.20943,0.84031,0.98364,0.00036057,0.00036057,0.00036057
12,1651.21,1.18789,0.79325,0.97801,0.61262,0.53454,0.55501,0.35239,1.19048,0.83234,0.97368,0.000325227,0.000325227,0.000325227
13,1783.78,1.18095,0.7773,0.97144,0.64193,0.54146,0.57224,0.36052,1.21228,0.81921,0.98193,0.000289884,0.000289884,0.000289884
14,1915.99,1.17497,0.7674,0.97101,0.61866,0.54166,0.56485,0.36027,1.18753,0.82,0.97268,0.000254541,0.000254541,0.000254541
15,2048.69,1.16467,0.74929,0.96586,0.64647,0.53483,0.57017,0.36262,1.19204,0.80849,0.97451,0.000219198,0.000219198,0.000219198
16,2181.04,1.15375,0.73424,0.96069,0.64979,0.53988,0.57675,0.36678,1.18945,0.80321,0.97326,0.000183855,0.000183855,0.000183855
17,2314.03,1.14259,0.71926,0.95693,0.64214,0.54703,0.57876,0.37087,1.1834,0.80247,0.96916,0.000148512,0.000148512,0.000148512
18,2446.33,1.13366,0.70278,0.95423,0.6502,0.54595,0.58123,0.36931,1.18676,0.78942,0.96788,0.000113169,0.000113169,0.000113169
19,2578.52,1.12176,0.68646,0.9484,0.66119,0.54533,0.58708,0.37618,1.17423,0.78554,0.9633,7.7826e-05,7.7826e-05,7.7826e-05
20,2711.19,1.11293,0.67196,0.94656,0.65411,0.55454,0.58874,0.3774,1.17219,0.78174,0.96704,4.2483e-05,4.2483e-05,4.2483e-05
