epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.515,1.34073,1.26965,1.03052,0.2047,0.24668,0.12949,0.07559,2.57927,inf,2.54457,0.000237119,0.000237119,0.000237119
2,154.878,1.2929,1.001,0.98979,0.11124,0.26209,0.07532,0.04279,2.55802,inf,3.02221,0.000469239,0.000469239,0.000469239
3,230.79,1.28051,0.96649,0.99367,0.28227,0.23743,0.18304,0.11456,2.56536,inf,2.40285,0.000695469,0.000695469,0.000695469
4,306.18,1.26199,0.93717,0.98656,0.1951,0.21964,0.11304,0.07163,2.57759,inf,2.18789,0.000687493,0.000687493,0.000687493
5,381.088,1.25124,0.90952,0.98593,0.18275,0.25435,0.12079,0.07857,2.6361,inf,2.81013,0.000678657,0.000678657,0.000678657
6,455.666,1.24595,0.88856,0.98376,0.2733,0.24799,0.17101,0.10565,2.73555,inf,3.04716,0.000669821,0.000669821,0.000669821
7,530.258,1.2298,0.86873,0.97634,0.27339,0.26219,0.16168,0.10024,2.55203,inf,2.35483,0.000660986,0.000660986,0.000660986
8,605.444,1.22122,0.85458,0.97524,0.21616,0.26628,0.13843,0.08907,2.79052,inf,3.12769,0.00065215,0.00065215,0.00065215
9,680.402,1.22264,0.83961,0.9709,0.36889,0.26154,0.21924,0.13761,2.652,inf,2.49971,0.000643314,0.000643314,0.000643314
10,755.456,1.20739,0.82932,0.972,0.24606,0.26062,0.15223,0.09708,2.71466,inf,3.38733,0.000634478,0.000634478,0.000634478
11,830.51,1.21037,0.82481,0.97044,0.26627,0.25263,0.16153,0.10259,2.53981,inf,2.63584,0.000625642,0.000625642,0.000625642
12,905.329,1.19785,0.80904,0.96508,0.38587,0.26996,0.21488,0.13617,2.65055,inf,3.19767,0.000616807,0.000616807,0.000616807
13,980.095,1.19367,0.79546,0.96556,0.31536,0.27088,0.1749,0.11122,2.78358,inf,3.91428,0.000607971,0.000607971,0.000607971
14,1055.32,1.19514,0.80194,0.968,0.20087,0.27883,0.12615,0.08189,2.64476,inf,3.22443,0.000599135,0.000599135,0.000599135
15,1130.59,1.18891,0.78408,0.96495,0.28844,0.28498,0.16057,0.1063,2.62941,inf,3.42675,0.0005903,0.0005903,0.0005903
16,1205.57,1.18145,0.77918,0.96048,0.27172,0.28019,0.16262,0.10834,2.69706,inf,3.3961,0.000581464,0.000581464,0.000581464
17,1280.64,1.18458,0.77035,0.96245,0.29531,0.28131,0.16993,0.10843,2.64323,inf,3.19683,0.000572628,0.000572628,0.000572628
18,1355.95,1.16541,0.76411,0.95181,0.22448,0.29027,0.14416,0.0921,2.59552,inf,2.99417,0.000563792,0.000563792,0.000563792
19,1430.88,1.17562,0.75597,0.95762,0.3907,0.2797,0.20913,0.1359,2.67872,inf,3.50862,0.000554956,0.000554956,0.000554956
20,1505.68,1.17035,0.75507,0.95363,0.201,0.28551,0.12774,0.08219,2.53584,inf,2.63817,0.000546121,0.000546121,0.000546121
21,1580.67,1.15457,0.74478,0.95663,0.31912,0.29822,0.18053,0.11528,2.56944,inf,3.10885,0.000537285,0.000537285,0.000537285
22,1681.03,1.16835,0.74293,0.95083,0.28862,0.28845,0.16885,0.11192,2.62574,inf,3.15798,0.000528449,0.000528449,0.000528449
23,1756.06,1.15815,0.73708,0.95193,0.30234,0.28752,0.18659,0.12513,2.50084,inf,2.40108,0.000519613,0.000519613,0.000519613
24,1831.31,1.15845,0.73123,0.95342,0.34394,0.28804,0.1966,0.13017,2.41082,inf,2.28452,0.000510778,0.000510778,0.000510778
25,1906.43,1.15274,0.72136,0.94724,0.27761,0.28929,0.16752,0.10964,2.47689,inf,2.44266,0.000501942,0.000501942,0.000501942
26,1981.41,1.14811,0.71883,0.95091,0.42947,0.28053,0.24486,0.15828,2.55903,inf,2.685,0.000493106,0.000493106,0.000493106
27,2057.12,1.13967,0.71015,0.94483,0.41567,0.26981,0.22854,0.14544,2.49378,inf,2.43384,0.000484271,0.000484271,0.000484271
28,2132.43,1.13127,0.69916,0.94162,0.39334,0.2776,0.22297,0.14518,2.36329,inf,2.07114,0.000475435,0.000475435,0.000475435
29,2207.31,1.13596,0.70478,0.93973,0.33836,0.29518,0.19513,0.12764,2.19742,inf,1.82627,0.000466599,0.000466599,0.000466599
30,2282.38,1.12794,0.69199,0.93956,0.36712,0.28633,0.21421,0.14067,2.10777,inf,1.71635,0.000457763,0.000457763,0.000457763
31,2357.48,1.13579,0.69602,0.939,0.38383,0.28721,0.21432,0.14036,2.40568,inf,2.08511,0.000448928,0.000448928,0.000448928
32,2432.58,1.13868,0.68988,0.9394,0.44524,0.27242,0.24992,0.16374,2.30796,inf,1.91228,0.000440092,0.000440092,0.000440092
33,2508.11,1.12301,0.67996,0.93885,0.3733,0.2947,0.21398,0.13992,2.28713,inf,2.03897,0.000431256,0.000431256,0.000431256
34,2583.61,1.11294,0.67118,0.93435,0.35435,0.28668,0.19711,0.12986,2.26934,inf,2.04391,0.00042242,0.00042242,0.00042242
35,2658.83,1.11854,0.67262,0.93652,0.37216,0.287,0.2174,0.142,2.36845,inf,2.18332,0.000413584,0.000413584,0.000413584
36,2734.2,1.10315,0.66111,0.93205,0.35364,0.28343,0.20106,0.1333,2.22384,inf,2.00514,0.000404749,0.000404749,0.000404749
37,2809.23,1.10264,0.65585,0.93207,0.33202,0.28676,0.1956,0.13145,2.32923,inf,2.30845,0.000395913,0.000395913,0.000395913
38,2884.62,1.11074,0.66066,0.93315,0.30728,0.28983,0.18674,0.12526,2.47545,inf,2.46463,0.000387077,0.000387077,0.000387077
39,2959.98,1.11328,0.65365,0.9315,0.31104,0.29592,0.18254,0.12257,2.20145,inf,1.96451,0.000378242,0.000378242,0.000378242
